id,popularity,budget,revenue,runtime,vote_count,vote_average,release_year,budget_adj,revenue_adj,genre_encoded,month of release
135397,32.985763,150000000,1513528810,124,5562,6.5,2015,137999939.3,1392445893,0,6
76341,28.419936,150000000,378436354,120,6185,7.1,2015,137999939.3,348161292.5,0,5
262500,13.112507,110000000,295238201,119,2480,6.3,2015,101199955.5,271619025.4,1,3
140607,11.173104,200000000,2068178225,136,5292,7.5,2015,183999919,1902723130,0,12
168259,9.335014,190000000,1506249360,137,2947,7.3,2015,174799923.1,1385748801,0,4
281957,9.1107,135000000,532950503,156,3929,7.2,2015,124199945.4,490314247,19,12
87101,8.654359,155000000,440603537,125,2598,5.8,2015,142599937.3,405355075.7,15,6
286217,7.6674,108000000,595380321,141,4572,7.6,2015,99359956.28,547749654.3,6,9
211672,7.404165,74000000,1156730962,91,2893,6.5,2015,68079970.04,1064192017,7,6
150540,6.326804,175000000,853708609,94,3935,8,2015,160999929.2,785411574.7,3,6
206647,6.200282,245000000,880674609,148,3254,6.2,2015,225399900.8,810220283.8,0,10
76757,6.189369,176000003,183987723,124,1937,5.2,2015,161919931.5,169268630.7,15,2
264660,6.118847,15000000,36869414,108,2854,7.6,2015,13799993.93,33919845.96,6,1
257344,5.984995,88000000,243637091,105,1575,5.8,2015,80959964.38,224146025.1,0,7
99861,5.944927,280000000,1405035767,141,4304,7.4,2015,257599886.7,1292632337,0,4
273248,5.8984,44000000,155760117,167,2389,7.4,2015,40479982.19,143299244.6,4,12
260346,5.749758,48000000,325771424,109,1578,6.1,2015,44159980.57,299709578.2,4,1
102899,5.573184,130000000,518602163,115,3779,7,2015,119599947.4,477113780,15,7
150689,5.556818,95000000,542351353,112,1495,6.8,2015,87399961.54,498963025.2,14,3
131634,5.476958,160000000,650523427,136,2380,6.5,2015,147199935.2,598481289.5,18,11
158852,5.462138,190000000,209035668,130,1899,6.2,2015,174799923.1,192312729.9,0,5
307081,5.337064,30000000,91709827,123,1386,7.3,2015,27599987.86,84373003.72,0,6
254128,4.907832,110000000,470490832,114,2060,6.1,2015,101199955.5,432851375,0,5
216015,4.710402,40000000,569651467,125,1865,5.3,2015,36799983.81,524079119,6,2
318846,4.648046,28000000,133346506,130,1545,7.3,2015,25759988.67,122678731.5,3,12
177677,4.566713,150000000,682330139,131,2349,7.1,2015,137999939.3,627743451.7,0,7
214756,4.564549,68000000,215863606,115,1666,6.3,2015,62559972.47,198594430.1,3,6
207703,4.503789,81000000,403802136,130,3833,7.6,2015,74519967.21,371497801.7,4,1
314365,4.062293,20000000,88346473,128,1559,7.8,2015,18399991.9,81278719.4,6,11
294254,3.968891,61000000,311256926,132,1849,6.4,2015,56119975.31,286356245.9,0,9
280996,3.927333,0,29355203,103,425,6.4,2015,0,27006774.88,13,6
198184,3.899557,49000000,102069268,120,1990,6.6,2015,45079980.16,93903685.24,4,3
254470,3.877764,29000000,287506194,115,1264,6.8,2015,26679988.26,264505582.1,3,5
296098,3.64821,40000000,162610473,141,1638,7.1,2015,36799983.81,149601569.3,17,10
257445,3.644541,58000000,150170815,103,600,6.2,2015,53359976.52,138157089,1,8
264644,3.557846,6000000,35401758,117,1520,8,2015,5519997.571,32569603.03,6,10
339527,3.358321,0,22354572,101,474,6.2,2015,0,20566197.19,4,9
105864,3.339135,175000000,331926147,93,1087,6.6,2015,160999929.2,305371920.9,1,11
241554,3.23737,50000000,71561644,114,814,6.3,2015,45999979.76,65836683.51,0,3
167073,3.227329,11000000,62076141,111,754,7.3,2015,10119995.55,57110024.59,6,11
277216,3.202719,28000000,201634991,147,918,7.7,2015,25759988.67,185504110.1,6,8
274854,3.080505,90000000,140396650,106,879,5.6,2015,82799963.57,129164861.2,8,10
321697,3.079522,30000000,34441873,122,1035,6.9,2015,27599987.86,31686509.22,10,10
203801,3.053421,75000000,108145109,116,1548,7,2015,68999969.64,99493456.5,3,8
293863,3.025852,25000000,42629776,112,1221,7.3,2015,22999989.88,39219376.66,8,4
325348,3.023253,10000000,14333790,97,396,5.9,2015,9199995.952,13187081,0,9
228161,2.976436,135000000,368871007,94,1060,6.9,2015,124199945.4,339361177.1,8,3
286565,2.968254,12000000,85512300,109,1252,6.2,2015,11039995.14,78671281.38,6,7
265208,2.93234,30000000,0,92,481,5.3,2015,27599987.86,0,17,1
254320,2.885126,4000000,9064511,118,638,6.6,2015,3679998.381,8339346.451,17,10
